Vratnik pjeva,Vratnik pjeva; nikad ne tuguje;Sarajevom pjesma odjekuje.Ja miline kad s Vratnik-mejdanapusta mladost prođe raspjevana!Sarajevo; bez Vratnika; šta je?Tamo pjesma nikad ne prestaje!Pod beharom; ljeti u šljiviku;ašikuju momci na Vratniku.Bez Zmajevca; Kule i Mejdana;teferiča; ni uranka nema!
Vozila se po Vrbasu lađa,1. verzija:Vozila se sevdeli;haj; vozila se sevdeli; dušo moja;po Vrbasu lađa.Sva je lađa sevdeli;haj; sva je lađa sevdeli; dušo moja;srebrom okovana.Vesla su joj sevdeli;haj vesla su joj sevdeli; dušo moja;od suhoga zlata.A na lađi sevdeli;haj; a na lađi sevdeli; dušo moja;devet djevojaka.Među njima sevdeli;haj; među njima sevdeli; dušo moja;vesladžija Mujo.2. verzija:Vozila m’ se; sevdeli Zumro; Mujagina lađa.- Ko je lađi; sevdeli Zumro; bio veslendžija?- Veslendžija; sevdeli Zumro; Mujo kujundžija.Vesla su mu; sevdeli Zumro; od suhoga zlata;Sva je lađa; sevdeli Zumro; srebrom okovana;A po srebru; sevdeli Zumro; zlatom pozlaćena.
Voljelo se dvoje mladih,Voljelo se dvoje mladihšest mjeseci i godinu.I htjedoše da se uzmu;dušmani im ne dadoše.Razbolje se l’jepa Fatma;jedinica u majke;poželjela žute dunje;žute dunje iz Stambola.Ode dragi da donesežute dunje carigradske;al’ ga nema tri godine;nit’ se javlja; niti dolazi.Dođe dragi sa dunjama;nađe Fatmu na nosilima:”Dvjesto dajem; spusti te je;tristo dajem; otkrite je;da još jednom Fatmu vidim ja!”
Visoko; kleto; gornje stoborje,Visoko; kleto; gornje stoborje;nigdje ti drage vidjet’ ne mogu!Tajom joj odoh; tajom je vidjeh;prsten joj dadoh s almas-kamenom!
Visoka jela do neba,Visoka jela do neba;Široka lista do zemlje.Pod jelom Ale boluje:Da umrem; bi l’ me žalila?Do podne bi te žalila;Od podne kolo vodila.
Vino piju dva mila jarana,Vino piju dva mila jarana;jaran Mujo i jaran Alija;na varoši; gdje piju sarhoši.Tud prolazi beže Isaj-beže.Njega zovu dva mila jarana:Hajde; beže; da pijemo vina!Man’te me se; dva mila jarana;nije meni ni do moga dina;a kamoli do vašega vina!Sinoć me je oženila majka;a jutros mi pobjegla djevojkasa jastuka i meka dušeka;negrljena i ne poljubljena!Pitaju ga dva mila jarana:Bolan bio; što nisi ljubio?Sanan bio; moja braćo draga;sanan bio; san me prevario;prevario; pa nisam ljubio!Tad mu vele dva mila jarana:Ej; sokole; beže Isaj-beže;ne spava se kad se ljubi zlato;već se spava kad se kosi trava!
Vino piju Age Sarajlije,2. verzija:Vino piju age Sarajlijena Ilidži pokraj Sarajeva.S Čobanije dvije Turhanije;s Ćemaluše do dva Dženetića;iz Žabljaka do dva Vatrenjaka;sa Hiseta dvije Odobaše;sa Kovača dva Morića mlada;dva Morića; dva Halilbašića;sa Berkuše Kuna Hasanaga;sa Bjelava Pinjo bajraktare.A služi im Ćebedžina Savka;zlatnom čašom iz bijele ruke.Kako kome čašu dodavaše;svaki joj se pod grlo faćaše.Progovara Ćebedžina Savka:Čujete l’ me; age Sarajlije!Ako mogu svima biti sluga;ja ne mogu svima biti ljuba!Samo onom mogu biti ljubakoji može Drinu preplivatipod silahom i pod bensilahom;u čizmama i u halčinama;pod pazuhom prenijet djevojku.Progovara Pinjo bajraktare:Evo ko će Drinu preplivatiu čizmama i u halčinama;pod silahom i pod bensilahom;pod pazuhom tebe prenijeti!2. verzija:Vino piju age Sarajlije;na Ilidži pokraj željeznice:dva Morića; i dva Džindžafića;sa Bistrika do dva Dženetića;s Čobanije dvije Turhanije;s Ćeirdžika dvije Muzdedžije;iz Žabljaka do dva Vatrenjaka;sa Kovača dva Halilbašića;a sa Mlina dvije Turnadžije;iz Potoklinice do dvije Penjave;sa Vratnika dvije Tahmišćije;sa Hiseta dvije Odobaše;s vrh Bistrika Kuna Hasan-aga;sa Bjelava Pinjo Bajraktare...Služila ih krčmarica Janja.Kako kome čašu dodavaše;svaki joj se za njedra mašaše.Progovara krčmarica Janja:”Ako mogu svakom sluga biti;ja ne mogu svakom ljuba biti;samo jednom Pinji bajraktaru!”
Vino pije Selman-aga,Vino pije Selman-aga;Vino pije podvikuje.Đuzel Joku dovikuje:"Đuzel Joko; crno oko;Jesi l’ sama; jesi l’ doma?Je l’ mehana otvorena?Jesu l’ čaše poredane?Jesu l’ age posjedale?"
Vilu ljubi Murtez Alagicu,Vilu ljubi Murtez Alagiću;vilu ljubi devet godin’ dana.Kad deseta godina nastala;progovara Murtez Alagiću:”B’jela vilo; moja vjerna ljubo;evo danas devet godin’ dana;kako ljubim tvoje b’jelo lice;još se nisi na me nasmijala!””Kako ću se jadna nasmijati;kad si mene mladu zarobio!”Prevari se Murtez Alagiću;pa joj vrati krila i košulju.Kad se vila dograbila krila;ode vila nebu pod oblake.Ode vila pjesmu pjevajući;osta Murtez za njom plakajući.
Vila vilu iza gore viče,Vila vilu iza gore viče:Bila vilo; moja posestrimo;kako smo se mlade posestrile;još se nismo mlade darovale!Evo vojska na Zagorju spava;u vojsci je Zair Zair-aga;uhvatimo Zair Zair-agu;njim ćemo se mlade darovati!
Vila viče sa vrh Trebevića,Vila viče sa vrh Trebevića:”Jel’ Saraj’vo gdje je nekad bilo?Jel’ mejhana kraj Morića hana?Piju l’ vino mlade Sarajlije?Služi li ih krčmarica Mara?Nosi l’ Mara tri tanka fistana?Prvi; plavi; što begove mami;drugi; žuti; što hanume ljuti;treći; b’jeli; što djevojke cvjeli!”
Vila jaše konja Osmanova,Vila jaše konja Osmanova;vila jaše; za njom Osman pješe.”Sjaši; vilo; da se odmorimo!””Ja se nisam mlada umorila:Valja meni bio grad graditibrez aršma i brez tebešira;brez kamena i brez ćeremita!”
Vihor ružu niz polje tjeraše,Vihor ružu niz polje tjeraše;dotjera je Muji pod čadore.Pod čadorom niko ne bijaše;samo Mujo rane bolovaše.Sedam rana od sedam jarana;osma rana - udaje se draga.”Sve bih rane prebolio lahko;osmu ranu ne mogu nikako!”
Vezem jagluk sitnim biserdžikom,Vezem jagluk sitnim biserdžikom.Da ja znadem da ga dragom vezem;vezla bih ga svilom almasijom;a punila dubrovačkim zlatom!Da ja znadem da nedragom vezem;vezla bih ga svilom kahvajijom;a punila zlatom jablanijom.
Vezak vezla Duda Penjavina,Vezak vezla Duda Penjavinana čardaku prema Latinluku.K njoj dolazi Varošanin Meho:Srce; dušo; Dudo Penjavina;kome vezeš svilena jagluka?Vezem tebi; Varošanin Meho;ako ćeš se proći Latinlukai Marice; mlade krčmarice;i Ružice; s Latinske ćuprije;i visoke Ješe Samardžine;i lijepe Savke Ćebedžine!Odgovara Varošanin Meho:Vezi jagluk; Dudo Penjavina;pa ga daji kome tebi drago!Ja se neću proći Latinlukai Marice; mlade krčmarice;i Ružice; s Latinske ćuprije;i visoke Ješe Samardžine;i lijepe Savke Ćebedžine:dosta su me vina napojilei dušmanske ruke sačuvale!
Vezak vezla dilber Ernevaza,Vezak vezla dilber ErnevazaOd sabaha taman do po danaNa šiljtetu; u debelu hladu;A pod granom mavi jorgovana;Čistom srmom i suhijem zlatom.Na jagluku milo ime piše;Koje ona žarom srca ljubiI vjeruje da za njega diše.Vezak veze; a usto pop’jeva:"Rumen ružo; ako boga znadeš;Kad moj dragi u đulistan dođe;Da mu selam od mene predadeš.A još molim ovaj cjelov blagiŠto ostavljam na listiću tvome;Da ga predaš kada amo dođe;Srcu; duši; ašikliji mome".
Vezak vezla Adem kada,Vezak vezla Adem kada;mlada nevjesta;na čardaku; na visoku;kraj džam-pendžera.Sav je đerđef pokapala;gorkim suzama.Njoj dolazi mlad Omere;mladi djevere:”Šta je tebi; Adem-kado;mlada nevjesto?I dosad si vezak vezla;nisi plakala.””Prođi me se mlad Omere;mladi djevere.Tvoja majka; dobra žena;o zlu govori;da ja ljubim mlad Omera;mladog djevera;a Bog znade; i ti znadeš;nije istina!”
Vatra gori u jelovoj gori,Vatra gori u jelovoj gori.Ko je loži; ko se kraj nje grije?Vile lože; Ibro rane grije;Ibru su nam rane osvojile.Rekle su ga izl’ječiti vile;al’ za l’jeka; puno zatražile:Staroj majci ruku iz ramena;starom babi ćurak sa ramena;miloj seki rusu kosu s glave;vjernoj ljubi; ogru ispod vrata.Dade majka ruku iz ramena;dade babo ćurak sa ramena;dade seka rusu kosu s glave;ne da ljuba ogru ispod vrata;umr’je Mujo; žalosna mu majka!
Uzori dragi ravnine,Uzori; dragi; ravninePa posij svoje jadoveI svoje; dragi; i moje;Da vidim šta će niknuti.Izniče trava zelena;Kroz travu potok proteče;viš’ njega ruža procvate;u ruži bulbul propjeva.Ako ti nikne pšenica;Šeniću; dragi; za tobom.Ako ti nikne bosiljak;Bosa ću; dragi; za tobom.Ako ti nikne ljubicaLjubi me; dragi; tvoja sam.
Uzeh đugum i maštrafu,Uzeh đugum i maštrafu;pođoh na vodu.Kad na vodi; moja draga;lice umiva.Kad smo bili na sastanku;zagledasmo se!Kad smo bili nasred bašče;poljubismo se!Kad smo bili na vrh bašče;darovasmo se!
Uzdahnuću; saviću oblake,Uzdahnuću; saviću oblake;Primamiću varoške junake;Primamiću; al’ im poći neću.Savo vodo; suha žeđo moja;Jabandžijo; živa željo moja.
Umorih se ruže trgajući,Umorih se ruže trgajući;dan izgubih dragog čekajući.Kad ja vidjeh da mi neće doći;ja izađoh na sokak na vrata.Ja na vrata; dragi mimo vrata”Ah; moj dragi; moje milovanje;ubilo te moje uzdisanje;što te nije naučila majkasevdisati i ašikovati!”
Umihana Hadži Jusufova,Umihana Hadži Jusufovana Vrbasu đugum ostavila;na đugumu fesić s dukatima;jemeniju na vrhu svezala;a papuče k vodi okrenulada svak misli da se utopila.Sva gospoda k vodi dolazila;niko ne smje u Vrbas skočitiosim jednog deli Ibrahima.Kad se nešto iza grmlja javlja:Ne budali; deli Ibrahime;nisam; bolan; u Vrbas skočila;već sam bijelo lice umivalada ga ljubi deli Ibrahime!
U Trebinju gradu,U Trebinju gradu vel’ka žalost kažu;gdje umrije mlada Zubčevića Zlata.Na umoru Zlata majci govorila:”Dobro moje; majko; svate dočekajte.Svakom svatu; majko; po boščaluk dajte.Mome dragom; majko; vezenu mahramu.Neka suze briše; za mnom nek' uzdiše!"
U Travniku na Daltabaniku,1. verzija:U Travniku na Daltabaniku;Kolo vodi devet udovica;Kolovođa Omerbegovica.Čedo nosi pod svilenim pasom;Boga moli da se muško rodi.Bog joj dade; žensko joj se rodi.Tri joj dana ime nadjevala;Od mila je Karabegom zvala.2. verzija:U Travniku na Daltabaniku;prodaje se bejaz anterija.Prodaje je zenđil udovica;prodaje je jer je sirotica.Kupuje je Travničanin Mujo;nameće se Sarajlija Salko.”Man’ se; Salko; zenđil udovice;i njezine bejaz anterije!Za pasom mi dvije puške male;obje male bez kremena pale;ubit ću te; žalosna ti majka!”
U toj gori,U toj gori;Silan oganj gori;Ranjen junak ležiU zelenoj travi.Progovara junakIz zelene trave:"Nosite me dolje;U to ravno polje;Kopajte mi rakuU t’jesnu sokaku;Za pušku duboku;Za sablju široku;Vežite mi đoguPokraj moji’ noguPodajte mu zobi;Ne dajte mu vodu;Nek moj đogo znadeDa me ne imade.Kažite mi majciDa sam junak bio".
U Šeheru kraj bistra Vrbasa,U Šeheru; kraj bistra Vrbasa;šetala se lijepa Almasa.Ja kakva je u pojasu svome;sav se Šeher ponosi sa njome.”Oj; Almasa; mladosti ti tvoje;budi moja; ukrasi mi dvore!”
U Stambolu; na Bosforu ,U Stambolu; na Bosforu;a u silnog cara dvoru;zaplakala Šećer Đula;Osman-paše vjerna ljuba:"Osman-pašo; đe si mori;za tobom mi srce gori?Osman-paso đe si bio;đe si vojsku ostavio?""U Bugarskoj; kraj Sofije;gdje se rujna krvca lije;Dušman me je zarobio;život mi je poklonio;sablju mi je osvojio;vojsku mi je oprostio!"
U Saraj’vu pod Babića dvore,U Saraj’vu pod Babića dvorezelen čador i zelena trava:tu djevojke kolo zaigralei međ’ njima dvije mile seje;dvije šćeri Firdus kapetana.Mlađu prosi Babić Ahmed beže;a stariju pola Sarajeva.Starija je mlađoj govorila:Počuj mene; moja mila sejo;pokloni mi Babić Ahmed bega;ja ću tebi pola Sarajeva!Bogme neću; moja mila sejo;ne dam tebi Babić Ahmed bega;da mi dadeš i sve Sarajevo!
U Saraj’vu devetera vrata,U Saraj’vu devetera vrataI deseta od suhoga zlata;Na vratima gizdava djevojkaNa nju s’ Ale jabukama baca:”Ne bacaj se; Ale; jabukamaJer ako se ja nabacim na te;Probiću ti granu na fermanu;A kroz ferman muhtli koporan;Kroz koporan svilenu košulju;Kroz košulju tilo na petero;A kroz tilo srce na sedmero.”
U polju se ruža cvatijaše,U polju se ruža cvatijaše;al’ mi tude nibog ne bijaše;već bijaše Haša i Mejruša.Dolazi im momče neženjeno;Hašu budi; a Mejrušu ljubi:Ustan’ gore; draža do matere!Progovara Mejruša djevojka:Tam’ se kini; momče neženjeno!Nas je majka u gori rodila;u zelenu travcu povijala;srna nas je mlijekom zadojila;a soko nas odnjiho na grani.Da nas takneš; rastopile bi se;baš ko šećer u vodi studenoj!
U onoga Delal-age,U onoga Delal-age nasrid Saraj’va;U njeg’ ima l’jepa ćerka Delalagina.Nju mi prose sandžakbezi i alajbezi.Govorila l’jepa ćerka Dalalagina:”Ne daj mene sandžakbegu ni alajbegu;Ne uzimaj mnogo blago; sve gotovinu;Prvo će mi jutro jutro reći: ”Hajde na vodu.”Drugo će mi jutro reći: ”Platili smo te.”Treće će mi jutro reći: ”Ti si robinja.”
U Omera; više Sarajeva,U Omera; više Sarajeva;zeleni se gora oko dvorai u gori zeleno jezero.Na jezeru Omerova ljubalice mije; gorke suze lije.Sinoć joj se Omer snevjerios robinjicom Adem kadunicom.
U Mujage; sina materina,U Mujage; sina materina;Zelena mu gora oko dvora;U toj gori kamen suroviti;Na njem sjedi Mujo jadoviti;Suze roni; a gradove broji;Kol’ko ima odavde do mora?Sedamdeset i sedam gradova.U svakom sam djevojku ljubio.Nigdje mene zora ne zateče.
